24984	1	1	u,Маг. Защ. +18. Скорость +7.\0	u,Урон от физических умений +93. Расход MP -3%.\0	u,Сила Крит. Атк. +41,3. Шанс Крит. Атк. Магией +2.\0
24985	1	1	u,СИЛ +3, ЛВК +2, ВЫН +3, ИНТ +3, МДР +2, ДУХ +3\0	a,	a,
24986	1	1	u,Физ. Защ. +12,19\0	a,	a,
24987	1	1	u,Маг. Защ. +10,51\0	a,	a,
24988	1	1	u,Макс. HP +35,27\0	a,	a,
24989	1	1	u,Макс. MP +14,22\0	a,	a,
24990	1	1	u,Макс. CP +69,45\0	a,	a,
24991	1	1	u,Физ. Атк. +14,33\0	a,	a,
24992	1	1	u,Маг. Атк. +17,14\0	a,	a,
24993	1	1	u,Восстановление HP +0,14\0	a,	a,
24994	1	1	u,Восстановление MP +0,06\0	a,	a,
24995	1	1	u,Восстановление CP +0,14\0	a,	a,
24996	1	1	u,Уворот + 0,94\0	a,	a,
24997	1	1	u,Точность +1,528\0	a,	a,
24998	1	1	u,Крит. +11,4\0	a,	a,
24999	1	1	u,Физ. Защ. +7,165\0	u,Маг. Защ. +5,225\0	a,
25000	1	1	u,Физ. Защ. +7,165\0	u,Макс. HP +17,64\0	a,
25001	1	1	u,Физ. Защ. +7,165\0	u,Макс. MP +7,11\0	a,
25002	1	1	u,Физ. Защ. +7,165\0	u,Макс. CP +37,725\0	a,
25003	1	1	u,Физ. Защ. +7,165\0	u,Физ. Атк. +7,165\0	a,
25004	1	1	u,Физ. Защ. +7,165\0	u,Маг. Атк. +3,78\0	a,
25005	1	1	u,Физ. Защ. +7,165\0	u,Восстановление HP +0,07\0	a,
25006	1	1	u,Физ. Защ. +7,165\0	u,Восстановление MP +0,03\0	a,
25007	1	1	u,Физ. Защ. +7,165\0	u,Восстановление CP +0,07\0	a,
25008	1	1	u,Физ. Защ. +7,165\0	u,Уворот + 1,21905\0	a,
25009	1	1	u,Физ. Защ. +7,165\0	u,Точность +1,21905\0	a,
25010	1	1	u,Физ. Защ. +7,165\0	u,Крит. +5,7\0	a,
25011	1	1	u,Маг. Защ. +5,255\0	u,Макс. HP +17,64\0	a,
25012	1	1	u,Маг. Защ. +5,255\0	u,Макс. MP +7,11\0	a,
25013	1	1	u,Маг. Защ. +5,255\0	u,Макс. CP +37,725\0	a,
25014	1	1	u,Маг. Защ. +5,255\0	u,Физ. Атк. +7,165\0	a,
25015	1	1	u,Маг. Защ. +5,255\0	u,Маг. Атк. +3,78\0	a,
25016	1	1	u,Маг. Защ. +5,255\0	u,Восстановление HP +0,07\0	a,
25017	1	1	u,Маг. Защ. +5,255\0	u,Восстановление MP +0,03\0	a,
25018	1	1	u,Маг. Защ. +5,255\0	u,Восстановление CP +0,07\0	a,
25019	1	1	u,Маг. Защ. +5,255\0	u,Уворот + 0,47\0	a,
25020	1	1	u,Маг. Защ. +5,255\0	u,Точность +0,764\0	a,
25021	1	1	u,Маг. Защ. +5,255\0	u,Крит. +5,7\0	a,
25022	1	1	u,Макс. HP +17,64\0	u,Макс. MP +7,11\0	a,
25023	1	1	u,Макс. HP +17,64\0	u,Макс. CP +37,725\0	a,
25024	1	1	u,Макс. HP +17,64\0	u,Физ. Атк. +7,165\0	a,
25025	1	1	u,Макс. HP +17,64\0	u,Маг. Атк. +3,78\0	a,
25026	1	1	u,Макс. HP +17,64\0	u,Восстановление HP +0,07\0	a,
25027	1	1	u,Макс. HP +17,64\0	u,Восстановление MP +0,03\0	a,
25028	1	1	u,Макс. HP +17,64\0	u,Восстановление CP +0,07\0	a,
25029	1	1	u,Макс. HP +17,64\0	u,Уворот + 0,47\0	a,
25030	1	1	u,Макс. HP +17,64\0	u,Точность +0,764\0	a,
25031	1	1	u,Макс. HP +17,64\0	u,Крит. +5,7\0	a,
25032	1	1	u,Макс. MP +7,11\0	u,Макс. CP +37,725\0	a,
25033	1	1	u,Макс. MP +7,11\0	u,Физ. Атк. +7,165\0	a,
25034	1	1	u,Макс. MP +7,11\0	u,Маг. Атк. +3,78\0	a,
25035	1	1	u,Макс. MP +7,11\0	u,Восстановление HP +0,07\0	a,
25036	1	1	u,Макс. MP +7,11\0	u,Восстановление MP +0,03\0	a,
25037	1	1	u,Макс. MP +7,11\0	u,Восстановление CP +0,07\0	a,
25038	1	1	u,Макс. MP +7,11\0	u,Уворот + 0,47\0	a,
25039	1	1	u,Макс. MP +7,11\0	u,Точность +0,764\0	a,
25040	1	1	u,Макс. MP +7,11\0	u,Крит. +5,7\0	a,
25041	1	1	u,Макс. CP +37,725\0	u,Физ. Атк. +7,165\0	a,
25042	1	1	u,Макс. CP +37,725\0	u,Маг. Атк. +3,78\0	a,
25043	1	1	u,Макс. CP +37,725\0	u,Восстановление HP +0,07\0	a,
25044	1	1	u,Макс. CP +37,725\0	u,Восстановление MP +0,03\0	a,
25045	1	1	u,Макс. CP +37,725\0	u,Восстановление CP +0,07\0	a,
25046	1	1	u,Макс. CP +37,725\0	u,Уворот + 0,47\0	a,
25047	1	1	u,Макс. CP +37,725\0	u,Точность +0,764\0	a,
25048	1	1	u,Макс. CP +37,725\0	u,Крит. +5,7\0	a,
25049	1	1	u,Физ. Атк. +7,165\0	u,Маг. Атк. +3,78\0	a,
25050	1	1	u,Физ. Атк. +7,165\0	u,Восстановление HP +0,07\0	a,
25051	1	1	u,Физ. Атк. +7,165\0	u,Восстановление MP +0,03\0	a,
25052	1	1	u,Физ. Атк. +7,165\0	u,Восстановление CP +0,07\0	a,
25053	1	1	u,Физ. Атк. +7,165\0	u,Уворот + 0,47\0	a,
25054	1	1	u,Физ. Атк. +7,165\0	u,Точность +0,764\0	a,
25055	1	1	u,Физ. Атк. +7,165\0	u,Крит. +5,7\0	a,
25056	1	1	u,Маг. Атк. +3,78\0	u,Восстановление HP +0,07\0	a,
25057	1	1	u,Маг. Атк. +3,78\0	u,Восстановление MP +0,03\0	a,
25058	1	1	u,Маг. Атк. +3,78\0	u,Восстановление CP +0,07\0	a,
25059	1	1	u,Маг. Атк. +3,78\0	u,Уворот + 0,47\0	a,
25060	1	1	u,Маг. Атк. +3,78\0	u,Точность +0,764\0	a,
25061	1	1	u,Маг. Атк. +3,78\0	u,Крит. +5,7\0	a,
25062	1	1	u,Восстановление HP +0,07\0	u,Восстановление MP +0,03\0	a,
25063	1	1	u,Восстановление HP +0,07\0	u,Восстановление CP +0,07\0	a,
25064	1	1	u,Восстановление HP +0,07\0	u,Уворот + 0,47\0	a,
25065	1	1	u,Восстановление HP +0,07\0	u,Точность +0,764\0	a,
25066	1	1	u,Восстановление HP +0,07\0	u,Крит. +5,7\0	a,
25067	1	1	u,Восстановление MP +0,03\0	u,Восстановление CP +0,07\0	a,
25068	1	1	u,Восстановление MP +0,03\0	u,Уворот + 0,47\0	a,
25069	1	1	u,Восстановление MP +0,03\0	u,Точность +0,764\0	a,
25070	1	1	u,Восстановление MP +0,03\0	u,Крит. +5,7\0	a,
25071	1	1	u,Восстановление CP +0,07\0	u,Уворот + 0,47\0	a,
25072	1	1	u,Восстановление CP +0,07\0	u,Точность +0,764\0	a,
25073	1	1	u,Восстановление CP +0,07\0	u,Крит. +5,7\0	a,
25074	1	1	u,Уворот + 0,47\0	u,Точность +0,764\0	a,
